,country_region,Model,Scenario,Category,Subcategory,Indicator,composite_name,Definition,Unit,Year,Value,Timestamp
0,United Kingdom,2050 Pathways Calculator,National Grid,"Agriculture, Land Use and Forestry",Land Cover,Forest,"Agriculture, Land Use and Forestry | Land Cover | Forest",Land under managed and unmanaged forests,million Ha/yr,2100,,2100-01-01
1,United Kingdom,2050 Pathways Calculator,Sustainable Energy Association Pathway,"Agriculture, Land Use and Forestry",Land Cover,Forest,"Agriculture, Land Use and Forestry | Land Cover | Forest",Land under managed and unmanaged forests,million Ha/yr,2100,,2100-01-01
2,United Kingdom,2050 Pathways Calculator,Analogus to markal 3.26,"Agriculture, Land Use and Forestry",Land Cover,Forest,"Agriculture, Land Use and Forestry | Land Cover | Forest",Land under managed and unmanaged forests,million Ha/yr,2100,,2100-01-01
3,United Kingdom,2050 Pathways Calculator,Campaign to Protect Rural England,"Agriculture, Land Use and Forestry",Land Cover,Forest,"Agriculture, Land Use and Forestry | Land Cover | Forest",Land under managed and unmanaged forests,million Ha/yr,2100,,2100-01-01
4,United Kingdom,2050 Pathways Calculator,Carbon Plan Pathway (Higher CCS more bioenergy),"Agriculture, Land Use and Forestry",Land Cover,Forest,"Agriculture, Land Use and Forestry | Land Cover | Forest",Land under managed and unmanaged forests,million Ha/yr,2100,,2100-01-01
5,United Kingdom,2050 Pathways Calculator,Friends of the Earth,"Agriculture, Land Use and Forestry",Land Cover,Forest,"Agriculture, Land Use and Forestry | Land Cover | Forest",Land under managed and unmanaged forests,million Ha/yr,2100,,2100-01-01
6,United Kingdom,2050 Pathways Calculator,Carbon Plan Pathway (Higher renewables more energy efficiency),"Agriculture, Land Use and Forestry",Land Cover,Forest,"Agriculture, Land Use and Forestry | Land Cover | Forest",Land under managed and unmanaged forests,million Ha/yr,2100,,2100-01-01
7,United Kingdom,2050 Pathways Calculator,National Grid,"Agriculture, Land Use and Forestry",Land Cover,Energy Crops,"Agriculture, Land Use and Forestry | Land Cover | Energy Crops","Land dedicated to energy crops (e.g., switchgrass, miscanthus, fast-growing wood species)",million Ha/yr,2100,,2100-01-01
8,United Kingdom,2050 Pathways Calculator,Sustainable Energy Association Pathway,"Agriculture, Land Use and Forestry",Land Cover,Energy Crops,"Agriculture, Land Use and Forestry | Land Cover | Energy Crops","Land dedicated to energy crops (e.g., switchgrass, miscanthus, fast-growing wood species)",million Ha/yr,2100,,2100-01-01
9,United Kingdom,2050 Pathways Calculator,Analogus to markal 3.26,"Agriculture, Land Use and Forestry",Land Cover,Energy Crops,"Agriculture, Land Use and Forestry | Land Cover | Energy Crops","Land dedicated to energy crops (e.g., switchgrass, miscanthus, fast-growing wood species)",million Ha/yr,2100,,2100-01-01
10,United Kingdom,2050 Pathways Calculator,Campaign to Protect Rural England,"Agriculture, Land Use and Forestry",Land Cover,Energy Crops,"Agriculture, Land Use and Forestry | Land Cover | Energy Crops","Land dedicated to energy crops (e.g., switchgrass, miscanthus, fast-growing wood species)",million Ha/yr,2100,,2100-01-01
11,United Kingdom,2050 Pathways Calculator,Carbon Plan Pathway (Higher CCS more bioenergy),"Agriculture, Land Use and Forestry",Land Cover,Energy Crops,"Agriculture, Land Use and Forestry | Land Cover | Energy Crops","Land dedicated to energy crops (e.g., switchgrass, miscanthus, fast-growing wood species)",million Ha/yr,2100,,2100-01-01
