,country_region,Model,Scenario,Category,Subcategory,Indicator,composite_name,Definition,Unit,Year,Value,Timestamp
0,Bangladesh,Bangladesh 2050 Calculator,Max renewable,"Agriculture, Land Use and Forestry",Agriculture energy use,Electricity,"Agriculture, Land Use and Forestry | Agriculture energy use | Electricity",Electricity consumption by the agticulture sector,EJ/yr,2100,,2100-01-01
1,Bangladesh,Bangladesh 2050 Calculator,Max fossil fuels,"Agriculture, Land Use and Forestry",Agriculture energy use,Electricity,"Agriculture, Land Use and Forestry | Agriculture energy use | Electricity",Electricity consumption by the agticulture sector,EJ/yr,2100,,2100-01-01
2,Bangladesh,Bangladesh 2050 Calculator,High GDP and population - current policy,"Agriculture, Land Use and Forestry",Agriculture energy use,Electricity,"Agriculture, Land Use and Forestry | Agriculture energy use | Electricity",Electricity consumption by the agticulture sector,EJ/yr,2100,,2100-01-01
3,Bangladesh,Bangladesh 2050 Calculator,"Max supply, min demand","Agriculture, Land Use and Forestry",Agriculture energy use,Electricity,"Agriculture, Land Use and Forestry | Agriculture energy use | Electricity",Electricity consumption by the agticulture sector,EJ/yr,2100,,2100-01-01
4,Bangladesh,Bangladesh 2050 Calculator,Max renewable,"Agriculture, Land Use and Forestry",Agriculture energy use,Electricity,"Agriculture, Land Use and Forestry | Agriculture energy use | Electricity",Electricity consumption by the agticulture sector,EJ/yr,2090,,2090-01-01
5,Bangladesh,Bangladesh 2050 Calculator,Max fossil fuels,"Agriculture, Land Use and Forestry",Agriculture energy use,Electricity,"Agriculture, Land Use and Forestry | Agriculture energy use | Electricity",Electricity consumption by the agticulture sector,EJ/yr,2090,,2090-01-01
6,Bangladesh,Bangladesh 2050 Calculator,High GDP and population - current policy,"Agriculture, Land Use and Forestry",Agriculture energy use,Electricity,"Agriculture, Land Use and Forestry | Agriculture energy use | Electricity",Electricity consumption by the agticulture sector,EJ/yr,2090,,2090-01-01
7,Bangladesh,Bangladesh 2050 Calculator,"Max supply, min demand","Agriculture, Land Use and Forestry",Agriculture energy use,Electricity,"Agriculture, Land Use and Forestry | Agriculture energy use | Electricity",Electricity consumption by the agticulture sector,EJ/yr,2090,,2090-01-01
8,Bangladesh,Bangladesh 2050 Calculator,Max renewable,"Agriculture, Land Use and Forestry",Agriculture energy use,Electricity,"Agriculture, Land Use and Forestry | Agriculture energy use | Electricity",Electricity consumption by the agticulture sector,EJ/yr,2080,,2080-01-01
9,Bangladesh,Bangladesh 2050 Calculator,Max fossil fuels,"Agriculture, Land Use and Forestry",Agriculture energy use,Electricity,"Agriculture, Land Use and Forestry | Agriculture energy use | Electricity",Electricity consumption by the agticulture sector,EJ/yr,2080,,2080-01-01
10,Bangladesh,Bangladesh 2050 Calculator,High GDP and population - current policy,"Agriculture, Land Use and Forestry",Agriculture energy use,Electricity,"Agriculture, Land Use and Forestry | Agriculture energy use | Electricity",Electricity consumption by the agticulture sector,EJ/yr,2080,,2080-01-01
11,Bangladesh,Bangladesh 2050 Calculator,"Max supply, min demand","Agriculture, Land Use and Forestry",Agriculture energy use,Electricity,"Agriculture, Land Use and Forestry | Agriculture energy use | Electricity",Electricity consumption by the agticulture sector,EJ/yr,2080,,2080-01-01
12,Bangladesh,Bangladesh 2050 Calculator,Max renewable,"Agriculture, Land Use and Forestry",Agriculture energy use,Electricity,"Agriculture, Land Use and Forestry | Agriculture energy use | Electricity",Electricity consumption by the agticulture sector,EJ/yr,2070,,2070-01-01
