,ISO,Country,Data source,Sector,Gas,Unit,Year,Value,Timestamp
3,IND,India,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,752.08,2021-01-01
4,CHN,China,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,634.4,2021-01-01
5,BRA,Brazil,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,533.46,2021-01-01
6,IND,India,Climate Watch,Agriculture,CH4,MtCO₂e,2021,513.92,2021-01-01
7,EUU,European Union (27),Climate Watch,Agriculture,All GHG,MtCO₂e,2021,385.31,2021-01-01
8,USA,United States,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,377.02,2021-01-01
9,BRA,Brazil,Climate Watch,Agriculture,CH4,MtCO₂e,2021,348.17,2021-01-01
10,CHN,China,Climate Watch,Agriculture,CH4,MtCO₂e,2021,334.15,2021-01-01
11,CHN,China,Climate Watch,Agriculture,N2O,MtCO₂e,2021,300.25,2021-01-01
12,IND,India,Climate Watch,Agriculture,N2O,MtCO₂e,2021,238.17,2021-01-01
13,PAK,Pakistan,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,208.56,2021-01-01
14,EUU,European Union (27),Climate Watch,Agriculture,CH4,MtCO₂e,2021,208.48,2021-01-01
15,USA,United States,Climate Watch,Agriculture,CH4,MtCO₂e,2021,199.34,2021-01-01
16,BRA,Brazil,Climate Watch,Agriculture,N2O,MtCO₂e,2021,185.3,2021-01-01
17,USA,United States,Climate Watch,Agriculture,N2O,MtCO₂e,2021,177.68,2021-01-01
18,EUU,European Union (27),Climate Watch,Agriculture,N2O,MtCO₂e,2021,176.83,2021-01-01
19,IDN,Indonesia,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,154.16,2021-01-01
20,PAK,Pakistan,Climate Watch,Agriculture,CH4,MtCO₂e,2021,145.16,2021-01-01
21,ARG,Argentina,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,131.61,2021-01-01
22,ETH,Ethiopia,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,123.54,2021-01-01
23,AUS,Australia,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,121.76,2021-01-01
24,RUS,Russia,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,103.11,2021-01-01
25,MEX,Mexico,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,99.28,2021-01-01
26,BGD,Bangladesh,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,88.21,2021-01-01
27,IDN,Indonesia,Climate Watch,Agriculture,CH4,MtCO₂e,2021,87.93,2021-01-01
28,ARG,Argentina,Climate Watch,Agriculture,CH4,MtCO₂e,2021,83.39,2021-01-01
29,TCD,Chad,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,82.28,2021-01-01
30,NGA,Nigeria,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,80.29,2021-01-01
31,SDN,Sudan,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,76.82,2021-01-01
32,ETH,Ethiopia,Climate Watch,Agriculture,CH4,MtCO₂e,2021,75.22,2021-01-01
33,THA,Thailand,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,70.73,2021-01-01
34,VNM,Vietnam,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,69.61,2021-01-01
35,COL,Colombia,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,69.17,2021-01-01
36,FRA,France,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,68.9,2021-01-01
37,AUS,Australia,Climate Watch,Agriculture,CH4,MtCO₂e,2021,68.4,2021-01-01
38,IDN,Indonesia,Climate Watch,Agriculture,N2O,MtCO₂e,2021,66.23,2021-01-01
39,PAK,Pakistan,Climate Watch,Agriculture,N2O,MtCO₂e,2021,63.39,2021-01-01
40,MEX,Mexico,Climate Watch,Agriculture,CH4,MtCO₂e,2021,61.76,2021-01-01
41,TZA,Tanzania,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,61.72,2021-01-01
